,Season,Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
384,2013,Carter Hutton,BUF,40,20,11,4,2.6,91,1006,915,0.91,1,2085
385,2013,Frederik Andersen,TOR,28,20,5,0,2.3,60,783,723,0.9229999999999999,0,1569
386,2013,Martin Brodeur,FA,40,19,14,6,2.5,96,972,876,0.9009999999999999,3,2302
387,2013,Anton Khudobin,DAL,36,19,14,1,2.3,80,1076,996,0.9259999999999999,1,2084
388,2013,Tim Thomas,FA,48,18,24,4,2.9,128,1390,1262,0.9079999999999999,0,2662
389,2013,Brian Elliott,PHI,31,18,6,2,2.0,53,681,628,0.922,4,1624
390,2013,Josh Harding,FA,29,18,7,3,1.7,46,690,644,0.9329999999999999,3,1668
391,2013,Chad Johnson,FA,27,17,4,3,2.1,53,708,655,0.925,2,1511
392,2013,Karri Ramo,FA,40,17,15,4,2.7,97,1091,994,0.9109999999999999,2,2194
393,2013,Ben Scrivens,FA,40,16,16,4,2.6,94,1205,1111,0.922,4,2210
394,2013,Eddie Lack,FA,41,16,17,5,2.4,93,1052,959,0.912,4,2319
395,2013,Cory Schneider,NJ,45,16,15,12,2.0,88,1107,1019,0.9209999999999999,3,2680
396,2013,Jonas Gustavsson,FA,27,16,5,4,2.6,68,735,667,0.907,0,1551
397,2013,Evgeni Nabokov,FA,40,15,14,8,2.8,103,1085,982,0.905,4,2254
398,2013,Al Montoya,FA,28,13,8,3,2.3,59,737,678,0.92,2,1541
399,2013,Antti Raanta,ARI,25,13,5,4,2.7,63,610,547,0.897,1,1397
400,2013,Ilya Bryzgalov,FA,32,12,9,8,2.7,81,891,810,0.909,4,1814
401,2013,James Reimer,CAR,36,12,16,1,3.3,98,1095,997,0.9109999999999999,1,1785
402,2013,Alex Stalock,MIN,24,12,5,2,1.9,39,571,532,0.932,2,1252
403,2013,Martin Jones,SJ,19,12,6,0,1.8,33,500,467,0.934,4,1095
404,2013,Darcy Kuemper,ARI,26,12,8,4,2.4,60,702,642,0.915,2,1480
405,2013,Robin Lehner,VGK,36,12,15,6,3.1,99,1141,1042,0.9129999999999999,1,1942
406,2013,Jeff Zatkoff,FA,20,12,6,2,2.6,51,582,531,0.912,1,1171
407,2013,Cam Talbot,CGY,21,12,6,1,1.6,33,560,527,0.941,3,1211
408,2013,Kevin Poulin,FA,28,11,16,1,3.3,89,820,731,0.8909999999999999,0,1625
409,2013,Devan Dubnyk,MIN,34,11,18,3,3.5,103,945,842,0.8909999999999999,2,1802
410,2013,Jean-Sebastien Giguere,FA,22,11,6,1,2.6,53,608,555,0.9129999999999999,2,1212
411,2013,Thomas Greiss,NYI,25,10,8,5,2.3,50,626,576,0.92,2,1312
412,2013,Cam Ward,FA,30,10,12,6,3.1,84,824,740,0.898,0,1645
413,2013,Curtis McElhinney,TB,28,10,11,1,2.7,64,703,639,0.909,2,1423
