,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Frans Nielsen,DET,C,78,14,29,43,8,12,157,4,4,14,1,2,48,80
Jiri Tlusty,FA,LW,72,14,17,31,-18,20,123,0,6,4,0,0,80,37
Jori Lehtera,FA,C,75,14,30,44,21,48,103,2,2,5,1,1,43,35
Bryan Bickell,FA,LW,80,14,14,28,5,38,113,3,1,2,0,0,205,13
Chris Stewart,PHI,RW,81,14,22,36,-26,88,155,0,5,5,0,0,110,16
Mikkel Boedker,OTT,LW,45,14,14,28,-10,6,79,2,3,9,0,0,66,9
Steve Downie,ARI,RW,72,14,14,28,2,238,104,2,3,2,0,0,108,34
Taylor Hall,ARI,LW,53,14,24,38,-1,40,158,0,3,3,0,0,67,37
Kyle Palmieri,NJ,RW,57,14,15,29,-2,37,112,4,5,6,0,0,97,24
Nathan MacKinnon,COL,C,64,14,24,38,-7,34,192,2,3,4,0,0,43,41
Shane Doan,FA,RW,79,14,22,36,-29,65,189,0,5,5,0,0,189,26
Melker Karlsson,SJ,C,53,13,11,24,-3,20,100,2,1,0,0,0,51,26
Tomas Hertl,SJ,LW,82,13,18,31,-5,16,145,4,3,3,0,0,106,33
Reilly Smith,VGK,RW,81,13,27,40,7,20,143,0,1,10,0,0,74,39
Bo Horvat,VAN,C,68,13,12,25,-8,16,93,1,0,0,1,0,70,47
Carl Soderberg,ARI,C,82,13,31,44,10,26,163,3,5,3,0,0,76,36
Brian Gionta,FA,RW,69,13,22,35,-13,18,153,2,3,6,1,0,61,31
Curtis Glencross,FA,LW,71,13,22,35,2,45,108,1,4,7,0,0,124,50
Vernon Fiddler,FA,C,80,13,16,29,-5,34,132,2,3,0,1,1,43,61
Milan Michalek,FA,LW,66,13,21,34,3,33,130,1,5,5,1,0,64,40
Patrik Elias,FA,LW,69,13,21,34,-20,12,114,1,5,4,0,2,23,25
Matt Calvert,COL,LW,56,13,10,23,1,28,93,3,0,0,0,1,92,20
Antoine Roussel,VAN,LW,80,13,12,25,-20,148,113,1,0,3,0,0,115,71
Dmitrij Jaskin,FA,RW,54,13,5,18,7,16,108,4,3,0,0,0,146,21
Tobias Rieder,CGY,RW,72,13,8,21,-19,14,189,1,0,2,3,0,123,37
Brandon Dubinsky,CLS,C,47,13,23,36,11,43,100,1,0,7,1,0,152,11
Antoine Vermette,FA,C,82,13,25,38,-25,40,109,1,6,8,0,0,80,50
Riley Sheahan,EDM,C,79,13,23,36,-3,16,123,0,5,6,0,0,21,20
Dwight King,FA,LW,81,13,13,26,-3,21,127,1,0,1,0,1,124,14
Matt Moulson,WAS,LW,77,13,28,41,-11,4,156,2,3,8,0,0,34,49
Jakob Silfverberg,ANH,RW,81,13,26,39,15,24,189,2,2,2,1,2,42,37
Derek Roy,FA,C,72,12,20,32,-13,24,113,2,4,3,0,0,32,43
John Carlson,WAS,D,82,12,43,55,11,28,193,3,3,13,1,0,74,200
Luke Glendening,DET,RW,82,12,6,18,5,34,104,2,1,0,0,0,147,73
Valtteri Filppula,DET,C,82,12,36,48,-14,24,91,0,2,15,0,0,25,29
Patrik Berglund,FA,C,77,12,15,27,-2,26,145,0,0,1,0,0,93,26
Teddy Purcell,FA,RW,82,12,22,34,-33,24,146,0,5,7,0,0,24,19
Mike Santorelli,FA,C,79,12,21,33,0,14,145,2,0,2,1,1,55,34
Erik Johnson,COL,D,47,12,11,23,2,33,115,2,3,3,0,1,93,107
Chris Higgins,FA,LW,77,12,24,36,8,16,171,1,3,2,0,0,73,34
Cedric Paquette,TB,C,64,12,7,19,4,51,91,3,0,0,2,0,127,58
Tyson Barrie,TOR,D,80,12,41,53,5,26,139,0,2,14,0,0,80,90
Sami Vatanen,CAR,D,67,12,25,37,5,36,122,1,7,10,1,0,75,123
Brett Connolly,FLA,RW,55,12,5,17,3,48,83,2,2,1,0,0,90,13
Mason Raymond,FA,LW,57,12,11,23,-8,8,123,1,0,1,0,0,7,13
Tanner Pearson,VAN,LW,42,12,4,16,14,14,68,3,1,0,0,0,46,9
Aaron Ekblad,FLA,D,81,12,27,39,12,32,170,4,6,7,0,0,109,80
